appid,name,type,mac_available,windows_available,linux_available,release_date,publishers,developers,genres,categories,price_initial,description,recommendation_total,metacritic,num_achievements,review_score,review_score_desc,total_positive,total_negative,total_reviews
552990,World of Warships,game,False,True,False,"Nov 15, 2017",['Wargaming Group Limited'],['Wargaming Group Limited'],"Action,Massively Multiplayer,Simulation,Strategy,Free To Play","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Steam Cloud,Family Sharing",,"Immerse yourself in thrilling naval battles and assemble an armada of over 800 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!",2023.0,81.0,43.0,6,Mostly Positive,639,183,822
1962700,Subnautica 2,game,False,True,False,"May 14, 2026",['Unknown Worlds Entertainment'],['Unknown Worlds Entertainment'],"Action,Adventure,Early Access","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Full controller support,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Steam Cloud,Family Sharing",2999.0,"Subnautica 2 is an underwater survival adventure set on an all-new alien world, developed by Unknown Worlds. Play alone or with friends in 4-player co-op. Adapt to survive by building custom bases and crafting tools. Explore the unknown to uncover the mysteries hidden within the depths.",107816.0,,,8,Very Positive,61570,4450,66020
1118520,Paralives,game,True,True,False,"May 25, 2026",['Paralives Studio'],['Alex Massé and team'],"Simulation,Early Access","Single-player,Steam Workshop,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Playable without Timed Input,Save Anytime,Stereo Sound,Family Sharing",3999.0,"Paralives is a life simulation game about building homes, lives and bonds. Through both hardship and success, where will your story take you?",16120.0,,,8,Very Positive,10523,990,11513
252490,Rust,game,True,True,False,"Feb 8, 2018",['Facepunch Studios'],['Facepunch Studios'],"Action,Adventure,Indie,Massively Multiplayer,RPG","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Subtitle Options,Surround Sound,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet",3999.0,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.",1144265.0,69.0,102.0,8,Very Positive,453588,70125,523713
3764200,Resident Evil Requiem,game,False,True,False,"Feb 26, 2026","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,HDR available,Family Sharing",6999.0,Requiem for the dead. Nightmare for the living. Prepare to escape death in a heart-stopping experience that will chill you to your core.,101442.0,92.0,49.0,9,Overwhelmingly Positive,49055,1713,50768
1943950,Escape the Backrooms,game,False,True,False,"Oct 23, 2025",['Secret Mode'],"['Fancy Games', 'Blackbird Interactive']","Action,Indie","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Partial Controller Support,Steam Cloud,HDR available,Family Sharing",999.0,Escape the Backrooms is a 1-4 player co-op horror exploration game. Traverse 30+ eerie backrooms levels while avoiding entities and other dangers. Try to escape but be warned: survival isn't guaranteed.,121379.0,,34.0,8,Very Positive,35836,4377,40213
3405690,EA SPORTS FC™ 26,game,False,True,False,"Sep 25, 2025",['Electronic Arts'],"['EA Canada', 'EA Romania']","Simulation,Sports","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Chat Speech-to-text,Adjustable Difficulty,Keyboard Only Option,Stereo Sound,Subtitle Options,HDR available",6999.0,"The Club is Yours in EA SPORTS FC™ 26. Play your way with an overhauled gameplay experience powered by community feedback, Manager Live Challenges that bring fresh storylines to the new season, and Archetypes inspired by greats of the game.",69193.0,,43.0,5,Mixed,9852,10662,20514
4131670,Jurassic World Evolution 3: Rebirth Expansion,dlc,False,True,False,"Jun 16, 2026",['Frontier Developments'],['Frontier Developments'],"Simulation,Strategy","Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,HDR available,Family Sharing",2499.0,"Delve into a game expanding narrative inspired by the dramatic events of Jurassic World Rebirth. Take control of three top-secret locations, and come face to face with four new dinosaurs, including the terrifying Distortus rex! ",116.0,,,5,Mixed,46,37,83
3892270,Gamble With Your Friends,game,False,True,False,"May 1, 2026",['TENSTACK'],['TEAM GWYF'],"Adventure,Indie,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing",799.0,"An online 1-6 player co-op &quot;casino crawler&quot; where you and your friends share one bank account and one massive debt. Gamble, buy sketchy items, make terrible decisions, and climb an ominous casino tower to hit your loan shark’s daily quota in 5 minutes - or face the consequences.",10968.0,,55.0,8,Very Positive,6701,831,7532
553850,HELLDIVERS™ 2,game,False,True,False,"Feb 8, 2024",['PlayStation Publishing LLC'],['Arrowhead Game Studios'],Action,"Multi-player,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Adjustable Text Size,Camera Comfort,Chat Speech-to-text,Chat Text-to-speech,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Narrated Game Menus,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Partial Controller Support,Family Sharing",3999.0,"The Galaxy’s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.",828484.0,,38.0,8,Very Positive,504520,122980,627500
